trial,standard_sqnr_db,bfp_sqnr_db
102,57.29558115659444,57.29558115659444
103,57.00744138428558,57.00744138428558
104,57.36833496073726,57.36833496073726
105,57.19104650647716,57.19104650647716
106,56.990133206901845,56.990133206901845
107,57.10482374416638,57.10482374416638
108,57.216130608925695,57.216130608925695
109,57.081281014712665,57.081281014712665
110,56.872880423237184,56.872880423237184
111,57.30800080320121,57.30800080320121
112,57.31273549024304,57.31273549024304
113,56.86365824157684,56.86365824157684
114,57.11751125815455,57.11751125815455
115,57.151216343481146,57.151216343481146
116,57.03983529492258,57.03983529492258
117,56.944373301514645,56.944373301514645
118,57.08173532320424,57.08173532320424
119,56.73519852331385,56.73519852331385
120,57.01423307484512,57.01423307484512
121,57.46619857633007,57.46619857633007
122,57.08002322753691,57.08002322753691
123,57.02925755932306,57.02925755932306
124,56.920583068752094,56.920583068752094
125,57.323038763451294,57.323038763451294
126,56.99062417527049,56.99062417527049
127,57.180483931069915,57.180483931069915
128,56.783373290440416,56.783373290440416
129,57.36759318942688,57.36759318942688
130,57.02272246793254,57.02272246793254
131,56.924537802765556,56.924537802765556
132,56.76367563093809,56.76367563093809
133,56.97247445304619,56.97247445304619
134,57.18962316076677,57.18962316076677
135,56.90879969042675,56.90879969042675
136,57.32658325915227,57.32658325915227
137,56.88897262242598,56.88897262242598
138,57.0243115694586,57.0243115694586
139,57.227710258010006,57.227710258010006
140,57.15037267289486,57.15037267289486
141,57.08064879232442,57.08064879232442
142,57.10484067607925,57.10484067607925
143,56.98783757168297,56.98783757168297
144,56.981622086956286,56.981622086956286
145,57.01834971383156,57.01834971383156
146,56.97063475931559,56.97063475931559
147,57.279973934678466,57.279973934678466
148,57.13909090559646,57.13909090559646
149,57.29937913350553,57.29937913350553
150,57.27484525810634,57.27484525810634
151,57.04715204029028,57.04715204029028
152,56.85614552798559,56.85614552798559
153,57.19862947730361,57.19862947730361
154,57.15313989905777,57.15313989905777
155,57.10092944699952,57.10092944699952
156,56.91586206821388,56.91586206821388
157,56.98787312325446,56.98787312325446
158,57.02652910045501,57.02652910045501
159,56.95797840121994,56.95797840121994
160,56.86053770753468,56.86053770753468
161,56.90461967006641,56.90461967006641
162,56.92158406672145,56.92158406672145
163,56.971669766247615,56.971669766247615
164,56.95037247094628,56.95037247094628
165,56.72568690872147,56.72568690872147
166,57.21372237072511,57.21372237072511
167,57.681940163844445,57.681940163844445
168,57.276949429637405,57.276949429637405
169,57.061291349209526,57.061291349209526
170,56.987399210427185,56.987399210427185
171,57.040222714001644,57.040222714001644
172,57.090090402120246,57.090090402120246
173,57.20721330025256,57.20721330025256
174,57.1427575425868,57.1427575425868
175,57.25917049583063,57.25917049583063
176,57.108429242549335,57.108429242549335
177,57.270237857968674,57.270237857968674
178,57.03200039915554,57.03200039915554
179,57.34668018259803,57.34668018259803
180,56.921613596763116,56.921613596763116
181,57.04206148161309,57.04206148161309
182,57.075445708223484,57.075445708223484
183,56.994020284275926,56.994020284275926
184,57.02216659125352,57.02216659125352
185,57.10547728634719,57.10547728634719
186,56.82286598744128,56.82286598744128
187,57.261328329866075,57.261328329866075
188,57.14436477833714,57.14436477833714
189,57.26623853153137,57.26623853153137
190,57.00125551749802,57.00125551749802
191,57.20799998792738,57.20799998792738
192,57.000277259341765,57.000277259341765
193,57.307680723344305,57.307680723344305
194,57.341146479209385,57.341146479209385
195,57.04946325100698,57.04946325100698
196,57.248544599395366,57.248544599395366
197,57.17627686559446,57.17627686559446
198,57.10833927061664,57.10833927061664
199,57.32125941287294,57.32125941287294
