trial,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
68,56.3504377396269,56.402948875954436,1.0001175889925586,-0.0001184392405639314
69,56.371066148938674,56.42319707057281,1.000108463808208,-0.00012553326407549063
70,56.519755831293956,56.55461761396285,1.0001074488469985,-7.92221889408749e-05
71,56.577079636794856,56.649801953535466,1.000137783708072,-0.0001324648614136158
72,56.221847495769595,56.2620558778324,1.0001077873873803,-0.00010189415095802281
73,56.33822543860758,56.38889677514526,1.0001296108665116,-0.0001008074702688035
74,56.39781502316566,56.434680889898566,1.000111914197899,-8.278571706093975e-05
75,56.386668961306526,56.44574125588994,1.0001433770224386,-0.00010245163862504026
76,56.286980621847846,56.32671674611942,1.0001078426418781,-9.894251917564073e-05
77,56.37211427956967,56.41946854288301,1.000123512966635,-9.876288384099829e-05
78,56.41367910649173,56.45528006061109,1.000115537338064,-9.179824822974796e-05
79,56.409737234167224,56.443490765194014,1.0001066381894976,-7.954929360510982e-05
80,56.338300367001544,56.38655627397355,1.000112491606207,-0.00011413749958725407
81,56.44372668010948,56.4825049527487,1.0001025028419106,-9.827261928721592e-05
82,56.4401367031956,56.500758638252925,1.0001614862959807,-7.345547865065718e-05
83,56.36324862374462,56.421321266403275,1.000127276459848,-0.00012039983932463907
84,56.38626730542387,56.45002369663369,1.0001497177323166,-0.00010528891753983868
85,56.46249028571995,56.513799458132546,1.00011815276734,-0.00011210615768285084
86,56.35511189864914,56.38346425469529,1.0000999493497154,-7.12388290387319e-05
87,56.3422205118476,56.38006399120863,1.0000880807467034,-0.00011129678224349639
88,56.53316576336433,56.57690581459285,1.0001150457230985,-9.504284868072929e-05
89,56.48540968272107,56.524178580151066,1.0000966052955198,-0.00010312179936975137
90,56.42453547790428,56.47034573264225,1.0001308973339538,-8.230623181233004e-05
91,56.32280694352382,56.37419253564911,1.0001447215303385,-8.057703741721186e-05
92,56.187173001958655,56.224444725013434,1.0000948869916582,-0.00010751769479991699
93,56.28015862284988,56.336861545347475,1.0001493141437994,-9.089448452028169e-05
94,56.574538844992986,56.6094187142584,1.000111318236314,-7.2218401018614e-05
95,56.436425225513744,56.4768230749743,1.0000988219321965,-0.0001061697002656464
96,56.55807943992285,56.59690475614889,1.0000931972561191,-0.00010477572638848137
97,56.40504781386642,56.44292396327599,1.0001000898301933,-9.927450815095506e-05
98,56.39420498727152,56.46890318931519,1.0001743807718564,-9.339701007174209e-05
99,56.458232135554276,56.5336109355396,1.0001663446110325,-0.00010600048769360165
100,56.46212480671675,56.51200539725724,1.0001067961108914,-0.00011995695494607037
101,56.46325119222449,56.51025816880694,1.0001229801082554,-9.585109099125313e-05
102,56.519254052252556,56.570287454822164,1.000096501517686,-0.00012934381248597165
103,56.49692040088601,56.55850040731633,1.0001501064221603,-9.497112215854708e-05
104,56.33290301784577,56.39116709444107,1.0001391287355939,-0.0001079619968004701
105,56.39430396395581,56.44741937501155,1.0001389663991396,-9.26283225226998e-05
106,56.41255977011832,56.45879590245765,1.0001210111505094,-9.773415634112125e-05
